combatMissionID,combatant,timestampMissionStart,missionProfile,subFunc,idealQuantity,minQuantity,numAvailable,fullMissionCredit
484,Blue,1227600.0,airToSeaAttack,AerialReconMarine,2,0,0,0.8571428571428571
485,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
485,Red,0.0,airToAirAttack,AerialReconAir,2,0,5,0.0
486,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,15,0.0
486,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
486,Red,0.0,airToGroundAttack,AerialReconGround,2,0,0,0.0
487,Red,1227600.0,airToGroundBomb,AerialBomb,2,1,9,1.0
488,Blue,1254240.0,airToAirAttack,AerialAttackAir,8,4,14,1.0
488,Blue,1254240.0,airToAirAttack,AerialReconAir,2,0,7,1.0
489,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
489,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
489,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
490,Blue,1231200.0,airToGroundAttack,AerialAttackGround,8,4,13,0.8571428571428571
490,Blue,1231200.0,airToGroundAttack,AerialAttackAir,4,2,14,0.8571428571428571
490,Blue,1231200.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
491,Red,1243800.0,airToAirAttack,AerialAttackAir,8,4,18,1.0
491,Red,1243800.0,airToAirAttack,AerialReconAir,2,0,6,1.0
492,Blue,1231200.0,airToGroundBomb,AerialBomb,2,1,10,1.0
493,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
493,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
494,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
494,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,10,0.0
494,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
495,Red,1231200.0,airToGroundAttack,AerialAttackGround,8,4,15,0.8571428571428571
495,Red,1231200.0,airToGroundAttack,AerialAttackAir,4,2,14,0.8571428571428571
495,Red,1231200.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
497,Red,1231200.0,airToGroundBomb,AerialBomb,2,1,8,1.0
498,Blue,1254120.0,airToAirAttack,AerialAttackAir,8,4,10,1.0
498,Blue,1254120.0,airToAirAttack,AerialReconAir,2,0,7,1.0
499,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
499,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
499,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
500,Blue,1234800.0,airToGroundAttack,AerialAttackGround,8,4,10,0.8571428571428571
500,Blue,1234800.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
500,Blue,1234800.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
501,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
501,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
502,Blue,1234800.0,airToGroundBomb,AerialBomb,2,1,12,1.0
503,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
503,Red,0.0,airToAirAttack,AerialReconAir,2,0,5,0.0
504,Blue,1234800.0,airToSeaAttack,AerialAttackWater,8,4,12,0.8571428571428571
504,Blue,1234800.0,airToSeaAttack,AerialAttackAir,4,2,12,0.8571428571428571
504,Blue,1234800.0,airToSeaAttack,AerialReconMarine,2,0,0,0.8571428571428571
505,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
505,Red,0.0,airToAirAttack,AerialReconAir,2,0,12,0.0
506,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,12,0.0
506,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
506,Red,0.0,airToGroundAttack,AerialReconGround,2,0,0,0.0
507,Red,1234800.0,airToGroundBomb,AerialBomb,2,1,10,1.0
508,Blue,1249980.0,airToAirAttack,AerialAttackAir,8,4,10,1.0
508,Blue,1249980.0,airToAirAttack,AerialReconAir,2,0,6,1.0
509,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
509,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
509,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
510,Blue,1238400.0,airToGroundAttack,AerialAttackGround,8,4,12,0.8571428571428571
510,Blue,1238400.0,airToGroundAttack,AerialAttackAir,4,2,14,0.8571428571428571
510,Blue,1238400.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
511,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
511,Red,0.0,airToAirAttack,AerialReconAir,2,0,12,0.0
512,Blue,1238400.0,airToGroundBomb,AerialBomb,2,1,13,1.0
513,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
513,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
514,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
514,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,16,0.0
514,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,5,0.0
515,Red,1238400.0,airToGroundAttack,AerialAttackGround,8,4,32,0.8571428571428571
515,Red,1238400.0,airToGroundAttack,AerialAttackAir,4,2,14,0.8571428571428571
515,Red,1238400.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
517,Red,1238400.0,airToGroundBomb,AerialBomb,2,1,13,1.0
518,Blue,1252620.0,airToAirAttack,AerialAttackAir,8,4,16,0.8
518,Blue,1252620.0,airToAirAttack,AerialReconAir,2,0,0,0.8
519,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
519,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
519,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
520,Blue,1242000.0,airToGroundAttack,AerialAttackGround,8,4,18,0.8571428571428571
520,Blue,1242000.0,airToGroundAttack,AerialAttackAir,4,2,14,0.8571428571428571
520,Blue,1242000.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
521,Red,1244640.0,airToAirAttack,AerialAttackAir,8,4,10,1.0
521,Red,1244640.0,airToAirAttack,AerialReconAir,2,0,12,1.0
522,Blue,1242000.0,airToGroundBomb,AerialBomb,2,1,11,1.0
523,Red,1288920.0,airToAirAttack,AerialAttackAir,8,4,16,1.0
523,Red,1288920.0,airToAirAttack,AerialReconAir,2,0,5,1.0
524,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
524,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,15,0.0
524,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,5,0.0
525,Red,1242000.0,airToGroundAttack,AerialAttackGround,8,4,12,0.8571428571428571
525,Red,1242000.0,airToGroundAttack,AerialAttackAir,4,2,12,0.8571428571428571
525,Red,1242000.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
527,Red,1242000.0,airToGroundBomb,AerialBomb,2,1,13,1.0
529,Red,1242000.0,airToSeaAttack,AerialAttackWater,8,4,18,1.0
529,Red,1242000.0,airToSeaAttack,AerialAttackAir,4,2,18,1.0
529,Red,1242000.0,airToSeaAttack,AerialReconMarine,2,0,3,1.0
531,Blue,1245600.0,airToGroundAttack,AerialAttackGround,8,4,17,0.8571428571428571
531,Blue,1245600.0,airToGroundAttack,AerialAttackAir,4,2,15,0.8571428571428571
531,Blue,1245600.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
532,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
532,Red,0.0,airToAirAttack,AerialReconAir,2,0,4,0.0
533,Blue,1245600.0,airToGroundBomb,AerialBomb,2,1,9,1.0
534,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
534,Red,0.0,airToAirAttack,AerialReconAir,2,0,4,0.0
535,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
535,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,16,0.0
535,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,5,0.0
536,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,14,0.0
536,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
536,Red,0.0,airToGroundAttack,AerialReconGround,2,0,0,0.0
537,Red,0.0,airToGroundBomb,AerialBomb,2,1,0,0.0
538,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
538,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
538,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
539,Blue,1249200.0,airToGroundAttack,AerialAttackGround,8,4,10,0.8571428571428571
539,Blue,1249200.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
539,Blue,1249200.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
540,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
540,Red,0.0,airToAirAttack,AerialReconAir,2,0,4,0.0
541,Blue,1249200.0,airToGroundBomb,AerialBomb,2,1,12,1.0
542,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
542,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
543,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
543,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,16,0.0
543,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,5,0.0
544,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,12,0.0
544,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
544,Red,0.0,airToGroundAttack,AerialReconGround,2,0,8,0.0
545,Red,0.0,airToGroundBomb,AerialBomb,2,1,0,0.0
546,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
546,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
546,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
547,Blue,1252800.0,airToGroundAttack,AerialAttackGround,8,4,17,0.8571428571428571
547,Blue,1252800.0,airToGroundAttack,AerialAttackAir,4,2,19,0.8571428571428571
547,Blue,1252800.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
548,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
548,Red,0.0,airToAirAttack,AerialReconAir,2,0,4,0.0
549,Blue,1252800.0,airToGroundBomb,AerialBomb,2,1,8,1.0
550,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
550,Red,0.0,airToAirAttack,AerialReconAir,2,0,4,0.0
551,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
551,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,16,0.0
551,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,5,0.0
552,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,14,0.0
552,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
552,Red,0.0,airToGroundAttack,AerialReconGround,2,0,8,0.0
553,Red,0.0,airToGroundBomb,AerialBomb,2,1,0,0.0
554,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
554,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
554,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
556,Blue,1254600.0,seaToGroundAttack,MarineAttackLarge,2,1,5,1.0
556,Blue,1254600.0,seaToGroundAttack,MarineAttackSmall,2,1,2,1.0
556,Blue,1254600.0,seaToGroundAttack,AerialReconMarine,2,0,3,1.0
558,Red,1254600.0,seaToGroundAttack,MarineAttackLarge,2,1,8,1.0
558,Red,1254600.0,seaToGroundAttack,MarineAttackSmall,2,1,2,1.0
558,Red,1254600.0,seaToGroundAttack,AerialReconMarine,2,0,3,1.0
559,Blue,1256400.0,airToGroundAttack,AerialAttackGround,8,4,12,0.8571428571428571
559,Blue,1256400.0,airToGroundAttack,AerialAttackAir,4,2,28,0.8571428571428571
559,Blue,1256400.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
560,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
560,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
561,Blue,1256400.0,airToGroundBomb,AerialBomb,2,1,10,1.0
562,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
562,Red,0.0,airToAirAttack,AerialReconAir,2,0,4,0.0
563,Blue,1256400.0,airToSeaAttack,AerialAttackWater,8,4,12,1.0
563,Blue,1256400.0,airToSeaAttack,AerialAttackAir,4,2,12,1.0
563,Blue,1256400.0,airToSeaAttack,AerialReconMarine,2,0,5,1.0
564,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
564,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
565,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,14,0.0
565,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
565,Red,0.0,airToGroundAttack,AerialReconGround,2,0,8,0.0
566,Red,1256400.0,airToGroundBomb,AerialBomb,2,1,11,1.0
568,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
568,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
568,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
569,Blue,1260000.0,airToGroundAttack,AerialAttackGround,8,4,10,0.8571428571428571
569,Blue,1260000.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
569,Blue,1260000.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
570,Red,1270860.0,airToAirAttack,AerialAttackAir,8,4,18,0.8
570,Red,1270860.0,airToAirAttack,AerialReconAir,2,0,0,0.8
571,Blue,1260000.0,airToGroundBomb,AerialBomb,2,1,12,1.0
572,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
572,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
573,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
573,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,16,0.0
573,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,5,0.0
575,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,12,0.0
575,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
575,Red,0.0,airToGroundAttack,AerialReconGround,2,0,8,0.0
576,Red,0.0,airToGroundBomb,AerialBomb,2,1,0,0.0
577,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
577,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
577,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
579,Blue,1263600.0,airToGroundAttack,AerialAttackGround,8,4,14,0.8571428571428571
579,Blue,1263600.0,airToGroundAttack,AerialAttackAir,4,2,8,0.8571428571428571
579,Blue,1263600.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
580,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
580,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
581,Blue,0.0,airToGroundBomb,AerialBomb,2,1,0,0.0
582,Blue,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
582,Blue,0.0,airToSeaAttack,AerialAttackAir,4,2,16,0.0
582,Blue,0.0,airToSeaAttack,AerialReconMarine,2,0,5,0.0
583,Red,1263600.0,airToGroundAttack,AerialAttackGround,8,4,12,1.0
583,Red,1263600.0,airToGroundAttack,AerialAttackAir,4,2,15,1.0
583,Red,1263600.0,airToGroundAttack,AerialReconGround,2,0,8,1.0
585,Red,0.0,airToGroundBomb,AerialBomb,2,1,0,0.0
586,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
586,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
586,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
587,Blue,1267200.0,airToGroundAttack,AerialAttackGround,8,4,15,0.8571428571428571
587,Blue,1267200.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
587,Blue,1267200.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
588,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
588,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
