combatMissionId,cuvgId,team,timestampMissionStart,locationStart,startBaseID,locationTarget,timestampMissionEnd,locationEndPlan,locationEndActual,endBaseId,domain,missionProfile,forces,cuvgFunctions,milesPlan,fuelConsumedPlan,milesActual,fuelConsumedActual,winTeam,blueDamaged,redDamaged
"462","1303","Blue","1220400.0","(-57.64131546020508, 21.120878219604492)","Unknown","(-74.2677054885559, 20.872899841268815)","1229880.0","(-57.641245103016196, 21.12087850985898)","(-57.641245103016196, 21.12087850985898)","37451","Air","airToSeaAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","2012.1223","44713.83","2012.1223","44713.83","Blue","0","1"
"425","4881","Red","1209600.0","(-86.38464164086511, 20.47450425992723)","1700","(-71.70546206256546, 26.747253744494504)","1231620.0","(-86.38464164086511, 20.47450425992723)","(-86.38464164086511, 20.47450425992723)","1700","Air","airToSeaAttack","Air_Force","[AerialAttackGround, AerialAttackGroundMissile, AerialAttackAir, AerialAttackWater]","2048.773","59816.3","2048.773","59816.3","Red","1","0"
"425","4848","Red","1209600.0","(-86.98739350926321, 24.349019144917577)","1628","(-71.70546206256546, 26.747253744494504)","1231620.0","(-86.98739350926321, 24.349019144917577)","(-86.98739350926321, 24.349019144917577)","1628","Air","airToSeaAttack","Air_Force","[AerialAttackAir]","1932.6031","56367.605","1932.6031","56367.605","Red","1","0"
"425","3855","Red","1209600.0","(-84.66118372108106, 22.527440333104394)","1621","(-71.70546206256546, 26.747253744494504)","1231620.0","(-84.66118372108106, 22.527440333104394)","(-84.66118372108106, 22.527440333104394)","1621","Air","airToSeaAttack","Navy","[AerialReconMarine]","1727.4917","10464.613","1727.4917","10464.613","Red","1","0"
"474","1287","Blue","1224000.0","(-49.599552154541016, 7.2935590744018555)","545","(-47.73515710841167, -4.8173828125)","1232100.0","(-49.599537841196366, 7.293546085793574)","(-49.599537841196366, 7.293546085793574)","37368","Air","airToSeaAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","1693.1884","45151.684","1693.1884","45151.684","Red","1","0"
"440","5129","Red","1213200.0","(-101.53600566032496, 0.8509267709714976)","1841","(-106.80029296875, 7.097825050354004)","1232100.0","(-101.53600566032496, 0.8509267709714976)","(-101.53600566032496, 0.8509267709714976)","1841","Air","airToGroundBomb","Air_Force","[AerialBomb]","1108.2104","72033.68","1108.2104","72033.68","Red","1","0"
"422","1289","Blue","1221120.0","(-49.599552154541016, 7.2935590744018555)","545","(-49.599552147555244, 7.293558980082423)","1232160.0","(-49.599537841196366, 7.293546085793574)","(-49.599537841196366, 7.293546085793574)","37368","Air","airToAirAttack","Navy","[AerialReconAir]","0.0","0.0","0.0","0.0","Red","1","0"
"422","1281","Blue","1221120.0","(-49.599552154541016, 7.2935590744018555)","545","(-49.599552147555244, 7.293558980082423)","1232160.0","(-49.599537841196366, 7.293546085793574)","(-49.599537841196366, 7.293546085793574)","37368","Air","airToAirAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","0.0","0.0","0.0","0.0","Red","1","0"
"456","5294","Red","1216800.0","(-92.32390817188835, 26.666101476648365)","1415","(-68.50831478128765, 25.253139065904637)","1233780.0","(-92.32390817188835, 26.666101476648365)","(-92.32390817188835, 26.666101476648365)","1415","Air","airToSeaAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","3061.2817","86812.45","3061.2817","86812.45","Blue","0","1"
"456","4157","Red","1216800.0","(-86.5052773241973, 28.769413203983518)","1469","(-68.50831478128765, 25.253139065904637)","1233780.0","(-86.5052773241973, 28.769413203983518)","(-86.5052773241973, 28.769413203983518)","1469","Air","airToSeaAttack","Navy","[AerialReconMarine]","2339.939","14174.631","2339.939","14174.631","Blue","0","1"
"424","2030","Blue","1223700.0","(-61.11067199707031, 36.632381439208984)","313","(-61.110670247832985, 36.63238324175825)","1234680.0","(-61.110670247832985, 36.63238324175825)","(-61.110670247832985, 36.63238324175825)","313","Air","airToAirAttack","Air_Force","[AerialAttackAir]","0.0","0.0","0.0","0.0","Blue","0","1"
"442","5290","Red","1213200.0","(-92.32390817188835, 26.666101476648365)","1415","(-71.70546206256546, 26.747253744494504)","1236420.0","(-92.32390817188835, 26.666101476648365)","(-92.32390817188835, 26.666101476648365)","1415","Air","airToSeaAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","2542.5005","53126.87","2542.5005","53126.87","Red","1","0"
"442","4149","Red","1213200.0","(-86.5052773241973, 28.769413203983518)","1469","(-71.70546206256546, 26.747253744494504)","1236420.0","(-86.5052773241973, 28.769413203983518)","(-86.5052773241973, 28.769413203983518)","1469","Air","airToSeaAttack","Navy","[AerialReconMarine]","1829.958","11085.323","1829.958","11085.323","Red","1","0"
"442","4441","Red","1213200.0","(-92.32390817188835, 26.666101476648365)","1415","(-71.70546206256546, 26.747253744494504)","1236420.0","(-92.32390817188835, 26.666101476648365)","(-92.32390817188835, 26.666101476648365)","1415","Air","airToSeaAttack","Marine_Corps","[AerialAttackAir, AerialResupply]","2542.5005","118650.02","2542.5005","118650.02","Red","1","0"
"411","5013","Red","1217040.0","(-93.1623564068032, 2.420254550137358)","2259","(-101.53600566032496, 0.8509267709714976)","1236480.0","(-93.1623564068032, 2.420254550137358)","(-93.1623564068032, 2.420254550137358)","2259","Air","airToAirAttack","Air_Force","[AerialAttackAir]","1176.7462","24515.55","1176.7462","24515.55","Red","1","0"
"411","4982","Red","1217040.0","(-95.41089066887437, 1.0658160199175768)","2138","(-101.53600566032496, 0.8509267709714976)","1236480.0","(-95.41089066887437, 1.0658160199175768)","(-95.41089066887437, 1.0658160199175768)","2138","Air","airToAirAttack","Air_Force","[AerialReconAir]","846.7862","15396.112","846.7862","15396.112","Red","1","0"
"468","3865","Red","1220400.0","(-88.85566213107374, 27.253670157967036)","1391","(-67.48598018906371, 26.747360432769323)","1239360.0","(-88.85566213107374, 27.253670157967036)","(-88.85566213107374, 27.253670157967036)","1391","Air","airToSeaAttack","Navy","[AerialReconMarine]","2628.8955","15925.041","2628.8955","15925.041","Red","1","0"
"468","4911","Red","1220400.0","(-95.07300885281558, 24.442886026107217)","1812","(-67.48598018906371, 26.747360432769323)","1239360.0","(-95.07300885281558, 24.442886026107217)","(-95.07300885281558, 24.442886026107217)","1812","Air","airToSeaAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","3446.225","92585.14","3446.225","92585.14","Red","1","0"
"458","1240","Blue","1220400.0","(-46.38993835449219, 5.648351669311523)","Unknown","(-64.42261561851423, 3.467730511675825)","1242660.0","(-46.39003544527659, 5.648420038169037)","(-46.39003544527659, 5.648420038169037)","37203","Air","airToGroundAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","2502.031","55600.688","2502.031","55600.688","Blue","0","1"
"421","4814","Red","1209600.0","(-58.05551872863508, 7.752500429258234)","1481","(-49.599552147555244, 7.293558980082423)","1243500.0","(-58.05551872863508, 7.752500429258234)","(-58.05551872863508, 7.752500429258234)","1481","Air","airToGroundAttack","Air_Force","[AerialAttackGround]","1160.1309","25377.863","1160.1309","25377.863","Red","1","0"
"421","4990","Red","1209600.0","(-57.297519762544255, -3.4832535628434016)","2158","(-49.599552147555244, 7.293558980082423)","1243500.0","(-57.297519762544255, -3.4832535628434016)","(-57.297519762544255, -3.4832535628434016)","2158","Air","airToGroundAttack","Air_Force","[AerialReconGround]","1828.8523","121923.51","1828.8523","121923.51","Red","1","0"
"421","4933","Red","1209600.0","(-51.52265181487303, -8.834531679258234)","1915","(-49.599552147555244, 7.293558980082423)","1243500.0","(-51.52265181487303, -8.834531679258234)","(-51.52265181487303, -8.834531679258234)","1915","Air","airToGroundAttack","Air_Force","[AerialAttackAir]","2244.3877","56109.707","2244.3877","56109.707","Red","1","0"
"447","5011","Red","1226820.0","(-98.22259663807839, 14.91051038804946)","2254","(-94.74435546636553, 1.0166981456043942)","1243680.0","(-98.22259663807839, 14.91051038804946)","(-98.22259663807839, 14.91051038804946)","2254","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","1977.771","53134.137","1977.771","53134.137","Blue","0","1"
"410","1261","Blue","1209600.0","(-73.50836181640625, 26.70024299621582)","Unknown","(-101.53600566032496, 0.8509267709714976)","1243920.0","(-73.50827796150072, 26.70024571365431)","(-73.50827796150072, 26.70024571365431)","37284","Air","airToGroundAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","5158.448","114632.18","5158.448","114632.18","Red","1","0"
"459","5299","Red","1220400.0","(-92.32390817188835, 26.666101476648365)","1415","(-64.42261561851423, 3.467730511675825)","1244340.0","(-92.32390817188835, 26.666101476648365)","(-92.32390817188835, 26.666101476648365)","1415","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","4887.5986","109423.84","4887.5986","109423.84","Blue","0","1"
"459","4873","Red","1220400.0","(-66.35928214261591, 4.260696769886323)","1680","(-64.42261561851423, 3.467730511675825)","1244340.0","(-66.35928214261591, 4.260696769886323)","(-66.35928214261591, 4.260696769886323)","1680","Air","airToAirAttack","Air_Force","[AerialReconAir]","288.6107","1105.9899","288.6107","1105.9899","Blue","0","1"
"413","4892","Red","1231620.0","(-88.4470362047067, 14.770127719313521)","1743","(-83.03007507324219, 13.497564315795898)","1244760.0","(-88.4470362047067, 14.770127719313521)","(-88.4470362047067, 14.770127719313521)","1743","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","724.11487","17292.293","724.11487","17292.293","Blue","0","1"
"435","4854","Red","1234140.0","(-69.71255608289586, 3.1155455872252844)","1644","(-69.61634063720703, 2.0467581748962402)","1245660.0","(-69.71255608289586, 3.1155455872252844)","(-69.71255608289586, 3.1155455872252844)","1644","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","179.87349","5100.889","179.87349","5100.889","Blue","0","1"
"484","2020","Blue","1227600.0","(-15.434316635131836, 12.802423477172852)","383","(-60.5466251496087, 16.980520679909915)","1245780.0","(-15.434316961833105, 12.802423162774716)","(-15.434316961833105, 12.802423162774716)","383","Air","airToSeaAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","6039.8564","162264.78","6039.8564","162264.78","Blue","0","1"
"484","1933","Blue","1227600.0","(-33.08135986328125, 27.684377670288086)","389","(-60.5466251496087, 16.980520679909915)","1245780.0","(-33.08136168889635, 27.68437714629121)","(-33.08136168889635, 27.68437714629121)","389","Air","airToSeaAttack","Air_Force","[AerialAttackAir]","3798.0396","79125.84","3798.0396","79125.84","Blue","0","1"
"455","1935","Blue","1235700.0","(-33.08135986328125, 27.684377670288086)","389","(-33.08136168889635, 27.68437714629121)","1246740.0","(-33.08136168889635, 27.68437714629121)","(-33.08136168889635, 27.68437714629121)","389","Air","airToAirAttack","Air_Force","[AerialAttackAir]","0.0","0.0","0.0","0.0","Red","1","0"
"471","4980","Red","1227360.0","(-71.70683953806007, -0.9598697201236206)","2133","(-74.34259364484812, -0.2021944835571361)","1247880.0","(-71.70683953806007, -0.9598697201236206)","(-71.70683953806007, -0.9598697201236206)","2133","Air","airToAirAttack","Air_Force","[AerialReconAir]","378.94168","12057.234","378.94168","12057.234","Blue","0","1"
"471","4894","Red","1227360.0","(-86.75381469726562, 19.82913589477539)","1762","(-74.34259364484812, -0.2021944835571361)","1247880.0","(-86.7538117673721, 19.829136645520293)","(-86.7538117673721, 19.829136645520293)","1762","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","3238.341","67666.83","3238.341","67666.83","Blue","0","1"
"504","1283","Blue","1234800.0","(-49.599552154541016, 7.2935590744018555)","545","(-70.29899486708221, 12.681226730467872)","1248360.0","(-49.599537841196366, 7.293546085793574)","(-49.599537841196366, 7.293546085793574)","37368","Air","airToSeaAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","2912.315","77661.73","2912.315","77661.73","Blue","0","1"
"423","5134","Red","1209600.0","(-85.62949354665182, 17.795469179258234)","1880","(-61.110670247832985, 36.63238324175825)","1248720.0","(-85.62949354665182, 17.795469179258234)","(-85.62949354665182, 17.795469179258234)","1880","Air","airToGroundBomb","Air_Force","[AerialBomb]","3959.6711","316773.7","3959.6711","316773.7","Blue","0","1"
"477","5131","Red","1224000.0","(-97.74572595653238, 19.359359159506468)","1864","(-108.3686752319336, 9.641290664672852)","1248780.0","(-97.74572595653238, 19.359359159506468)","(-97.74572595653238, 19.359359159506468)","1864","Air","airToGroundBomb","Air_Force","[AerialBomb]","1946.5515","107060.336","1946.5515","107060.336","Red","1","0"
"453","1238","Blue","1228140.0","(-46.38993835449219, 5.648351669311523)","Unknown","(-42.73280715942383, -8.845552444458008)","1249020.0","(-46.39003544527659, 5.648420038169037)","(-46.39003544527659, 5.648420038169037)","37203","Air","airToAirAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","2197.7803","48839.56","2197.7803","48839.56","Red","1","0"
"470","1285","Blue","1224000.0","(-49.599552154541016, 7.2935590744018555)","545","(-74.34259364484812, -0.2021944835571361)","1251060.0","(-49.599537841196366, 7.293546085793574)","(-49.599537841196366, 7.293546085793574)","37368","Air","airToGroundAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","3564.0518","95041.375","3564.0518","95041.375","Blue","0","1"
"446","1309","Blue","1216800.0","(-57.64131546020508, 21.120878219604492)","Unknown","(-94.74435546636553, 1.0166981456043942)","1253580.0","(-57.641245103016196, 21.12087850985898)","(-57.641245103016196, 21.12087850985898)","37451","Air","airToGroundAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","5719.4956","127099.9","5719.4956","127099.9","Blue","0","1"
"529","4911","Red","1242000.0","(-95.07300567626953, 24.442886352539062)","1812","(-67.48598018906371, 26.747360432769323)","1258140.0","(-95.07300885281558, 24.442886026107217)","(-95.07300885281558, 24.442886026107217)","1812","Air","airToSeaAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","3446.2249","92585.13","3446.2249","92585.13","Red","1","0"
"529","3855","Red","1242000.0","(-84.66118621826172, 22.527441024780273)","1621","(-67.48598018906371, 26.747360432769323)","1258140.0","(-84.66118372108106, 22.527440333104394)","(-84.66118372108106, 22.527440333104394)","1621","Air","airToSeaAttack","Navy","[AerialReconMarine]","2232.591","13524.351","2232.591","13524.351","Red","1","0"
"452","4931","Red","1216800.0","(-68.1882852082316, -11.655691964285722)","1910","(-42.73280715942383, -8.845552444458008)","1260240.0","(-68.1882852082316, -11.655691964285722)","(-68.1882852082316, -11.655691964285722)","1910","Air","airToGroundAttack","Air_Force","[AerialAttackAir]","3449.1025","107784.484","3449.1025","107784.484","Red","1","0"
"452","4879","Red","1216800.0","(-55.55731127106796, -8.365535703672805)","1694","(-42.73280715942383, -8.845552444458008)","1260240.0","(-55.55731127106796, -8.365535703672805)","(-55.55731127106796, -8.365535703672805)","1694","Air","airToGroundAttack","Air_Force","[AerialAttackGround]","1747.145","14850.732","1747.145","14850.732","Red","1","0"
"498","2341","Blue","1254120.0","(-16.190073013305664, 33.29222869873047)","481","(-34.792728424072266, 27.537843704223633)","1261260.0","(-16.190073327432543, 33.29222827953298)","(-16.190073327432543, 33.29222827953298)","481","Air","airToAirAttack","Air_Force","[AerialAttackAir]","2358.9548","49144.902","2358.9548","49144.902","Unknown","Unknown","Unknown"
"498","1893","Blue","1254120.0","(-34.902427673339844, 27.047218322753906)","1350","(-34.792728424072266, 27.537843704223633)","1261260.0","(-34.90242839892869, 27.0472184065934)","(-34.90242839892869, 27.0472184065934)","1350","Air","airToAirAttack","Air_Force","[AerialReconAir]","33.40024","1062.7349","33.40024","1062.7349","Unknown","Unknown","Unknown"
"467","1925","Blue","1250100.0","(2.4418163800207537, -2.028974931318686)","947","(2.8441269397735596, -2.1671080589294434)","1261380.0","(2.4418163800207537, -2.028974931318686)","(2.4418163800207537, -2.028974931318686)","947","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","93.47778","2092.786","93.47778","2092.786","Red","1","0"
"465","1242","Blue","1239600.0","(-46.38993835449219, 5.648351669311523)","Unknown","(-35.410693696897994, -8.371301915011259)","1261620.0","(-46.39003544527659, 5.648420038169037)","(-46.39003544527659, 5.648420038169037)","37203","Air","airToAirAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","2458.1426","65550.46","2458.1426","65550.46","Red","1","0"
"480","1307","Blue","1227600.0","(-57.64131546020508, 21.120878219604492)","Unknown","(-100.29363282680686, 24.26119290865384)","1263120.0","(-57.641245103016196, 21.12087850985898)","(-57.641245103016196, 21.12087850985898)","37451","Air","airToGroundAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","5434.7573","144926.84","5434.7573","144926.84","Red","1","0"
"454","5126","Red","1216800.0","(-64.42261561851423, 3.467730511675825)","1826","(-33.08136168889635, 27.68437714629121)","1265460.0","(-64.42261561851423, 3.467730511675825)","(-64.42261561851423, 3.467730511675825)","1826","Air","airToGroundBomb","Air_Force","[AerialBomb]","5315.136","318908.2","5315.136","318908.2","Red","1","0"
"434","2025","Blue","1213200.0","(-33.08135986328125, 27.684377670288086)","389","(-69.61634063720703, 2.0467581748962402)","1266420.0","(-33.08136168889635, 27.68437714629121)","(-33.08136168889635, 27.68437714629121)","389","Air","airToGroundBomb","Air_Force","[AerialBomb]","5969.4824","298474.12","5969.4824","298474.12","Blue","0","1"
"412","2087","Blue","1209600.0","(-34.902427673339844, 27.047218322753906)","1350","(-83.03007507324219, 13.497564315795898)","1266660.0","(-34.90242839892869, 27.0472184065934)","(-34.90242839892869, 27.0472184065934)","1350","Air","airToGroundBomb","Air_Force","[AerialBomb]","6506.2354","357842.94","6506.2354","357842.94","Blue","0","1"
"500","1303","Blue","1234800.0","(-57.64131546020508, 21.120878219604492)","Unknown","(-93.95214891524527, 18.289902784024903)","1267140.0","(-57.641245103016196, 21.12087850985898)","(-57.641245103016196, 21.12087850985898)","37451","Air","airToGroundAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","4730.3247","105118.32","4730.3247","105118.32","Blue","0","1"
"515","5290","Red","1238400.0","(-92.32390594482422, 26.666101455688477)","1415","(-48.13362107610487, 9.3738517342033)","1270500.0","(-92.32390817188835, 26.666101476648365)","(-92.32390817188835, 26.666101476648365)","1415","Air","airToGroundAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","6238.723","130361.375","6238.723","130361.375","Red","1","0"
"515","4870","Red","1238400.0","(-60.24897805546679, 1.4578167856868163)","1673","(-48.13362107610487, 9.3738517342033)","1270500.0","(-60.24897805546679, 1.4578167856868163)","(-60.24897805546679, 1.4578167856868163)","1673","Air","airToGroundAttack","Air_Force","[AerialAttackGround]","1992.4553","40610.55","1992.4553","40610.55","Red","1","0"
"439","1244","Blue","1232940.0","(-46.38993835449219, 5.648351669311523)","Unknown","(-33.082252291005375, -11.251829713255503)","1270560.0","(-46.39003544527659, 5.648420038169037)","(-46.39003544527659, 5.648420038169037)","37203","Air","airToAirAttack","Navy","[AerialReconAir]","2967.063","13186.947","2967.063","13186.947","Red","1","0"
"439","1236","Blue","1232940.0","(-46.38993835449219, 5.648351669311523)","Unknown","(-33.082252291005375, -11.251829713255503)","1270560.0","(-46.39003544527659, 5.648420038169037)","(-46.39003544527659, 5.648420038169037)","37203","Air","airToAirAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","2967.063","65934.734","2967.063","65934.734","Red","1","0"
"491","4838","Red","1243800.0","(-70.7408676147461, 7.846368312835693)","1580","(-88.47055719501587, 12.083469265109898)","1270680.0","(-70.74086888429373, 7.84636847527473)","(-70.74086888429373, 7.84636847527473)","1580","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","2482.2383","66686.984","2482.2383","66686.984","Red","1","0"
"491","4918","Red","1243800.0","(-97.74572595653238, 19.359359159506468)","1864","(-88.47055719501587, 12.083469265109898)","1270680.0","(-97.74572595653238, 19.359359159506468)","(-97.74572595653238, 19.359359159506468)","1864","Air","airToAirAttack","Air_Force","[AerialReconAir]","1590.6633","43381.727","1590.6633","43381.727","Red","1","0"
"461","4986","Red","1246320.0","(-57.130429930716645, -0.3155638307005546)","2148","(-63.81037139892578, 2.812713623046875)","1272000.0","(-57.130429930716645, -0.3155638307005546)","(-57.130429930716645, -0.3155638307005546)","2148","Air","airToAirAttack","Air_Force","[AerialReconAir]","1134.7012","25788.662","1134.7012","25788.662","Blue","0","1"
"461","5311","Red","1246320.0","(-92.32390817188835, 26.666101476648365)","1415","(-63.81037139892578, 2.812713623046875)","1272000.0","(-92.32390817188835, 26.666101476648365)","(-92.32390817188835, 26.666101476648365)","1415","Air","airToAirAttack","Air_Force","[AerialAttackAir]","4887.5986","101824.99","4887.5986","101824.99","Blue","0","1"
"488","1922","Blue","1254240.0","(2.9742676794652425, -5.269563444368131)","434","(2.4418163800207537, -2.028974931318686)","1272300.0","(2.9742676794652425, -5.269563444368131)","(2.9742676794652425, -5.269563444368131)","434","Air","airToAirAttack","Air_Force","[AerialReconAir]","453.76913","14438.108","453.76913","14438.108","Red","1","0"
"488","2094","Blue","1254240.0","(-15.434316635131836, 12.802423477172852)","383","(2.4418163800207537, -2.028974931318686)","1272300.0","(-15.434316961833105, 12.802423162774716)","(-15.434316961833105, 12.802423162774716)","383","Air","airToAirAttack","Air_Force","[AerialAttackAir]","3195.989","93216.37","3195.989","93216.37","Unknown","Unknown","Unknown"
"508","2343","Blue","1249980.0","(-11.197175025939941, 32.808937072753906)","1366","(-35.24296569824219, 29.964372634887695)","1272960.0","(-11.197175491774516, 32.808937156593416)","(-11.197175491774516, 32.808937156593416)","1366","Air","airToAirAttack","Air_Force","[AerialAttackAir]","2860.0212","59583.79","2860.0212","59583.79","Unknown","Unknown","Unknown"
"508","2075","Blue","1249980.0","(-16.190073013305664, 33.29222869873047)","481","(-35.24296569824219, 29.964372634887695)","1272960.0","(-16.190073327432543, 33.29222827953298)","(-16.190073327432543, 33.29222827953298)","481","Air","airToAirAttack","Air_Force","[AerialReconAir]","2288.6355","62417.33","2288.6355","62417.33","Unknown","Unknown","Unknown"
"495","4848","Red","1231200.0","(-86.98739624023438, 24.34902000427246)","1628","(-32.85799224186607, -14.703693767170336)","1275300.0","(-86.98739350926321, 24.349019144917577)","(-86.98739350926321, 24.349019144917577)","1628","Air","airToGroundAttack","Air_Force","[AerialAttackAir]","9076.938","264744.1","9076.938","264744.1","Blue","0","1"
"495","4899","Red","1231200.0","(-74.34259364484812, -0.2021944835571361)","1779","(-32.85799224186607, -14.703693767170336)","1275300.0","(-74.34259364484812, -0.2021944835571361)","(-74.34259364484812, -0.2021944835571361)","1779","Air","airToGroundAttack","Air_Force","[AerialAttackGround]","6009.9707","93905.81","6009.9707","93905.81","Blue","0","1"
"449","4909","Red","1261680.0","(-93.95214891524527, 18.289902784024903)","1807","(-95.00202178955078, 3.094663381576538)","1278780.0","(-93.95214891524527, 18.289902784024903)","(-93.95214891524527, 18.289902784024903)","1807","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","2072.2427","74229.58","2072.2427","74229.58","Blue","0","1"
"521","5013","Red","1244640.0","(-93.162353515625, 2.4202544689178467)","2259","(-66.35928214261591, 4.260696769886323)","1279200.0","(-93.1623564068032, 2.420254550137358)","(-93.1623564068032, 2.420254550137358)","2259","Air","airToAirAttack","Air_Force","[AerialAttackAir]","3706.1772","77212.04","3706.1772","77212.04","Blue","0","1"
"521","4952","Red","1244640.0","(-71.1317788292791, -11.937703897664846)","2022","(-66.35928214261591, 4.260696769886323)","1279200.0","(-71.1317788292791, -11.937703897664846)","(-71.1317788292791, -11.937703897664846)","2022","Air","airToAirAttack","Air_Force","[AerialReconAir]","2332.516","5107.699","2332.516","5107.699","Blue","0","1"
